pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
EU	RU	1	8350001	8400000	-0.0096864595265086	2
EU	RU	1	8400001	8450000	-0.0034408926228193	2
EU	RU	1	8450001	8500000	-0.016285329059416	2
EU	RU	1	8500001	8550000	-0.0176747380342983	5
EU	RU	1	8550001	8600000	0.0143128520228196	3
EU	RU	1	8600001	8650000	-0.0185140469347625	8
EU	RU	1	8650001	8700000	0.0172101437072758	4
EU	RU	1	8700001	8750000	0.0272515834973483	2
EU	RU	1	8750001	8800000	-0.0271398202650384	6
EU	RU	1	8800001	8850000	0.0001942953560514	4
EU	RU	1	8850001	8900000	0.0189270962897809	5
EU	RU	1	8900001	8950000	-0.0188507919993134	4
EU	RU	1	8950001	9000000	-0.0239721305113528	3
EU	RU	1	9000001	9050000	-0.0041598180555765	4
EU	RU	1	9050001	9100000	0.0076871873244786	3
EU	RU	1	9100001	9150000	-0.0005358546481505	9
EU	RU	1	9150001	9200000	-0.0049813384098501	11
EU	RU	1	9200001	9250000	-0.0007950775213832	10
EU	RU	1	9250001	9300000	0.0065007528186252	17
EU	RU	1	9300001	9350000	0.0411618114436921	14
EU	RU	1	9350001	9400000	0.0125515810604511	15
EU	RU	1	9400001	9450000	0.0177948926322113	14
EU	RU	1	9450001	9500000	0.0134852157448623	20
EU	RU	1	9500001	9550000	-0.015808099925999	19
EU	RU	1	9550001	9600000	-0.0120611494912589	16
EU	RU	1	9600001	9650000	0.0084883759148612	22
EU	RU	1	9650001	9700000	0.0091307110725133	21
EU	RU	1	9700001	9750000	-0.0179585096808247	12
EU	RU	1	9750001	9800000	-0.0064518362590833	27
EU	RU	1	9800001	9850000	-0.0147091605036924	23
EU	RU	1	9850001	9900000	-0.0043095238282252	20
EU	RU	1	9900001	9950000	-0.0282403015836192	21
EU	RU	1	9950001	10000000	-0.0019853210211526	23
EU	RU	1	10000001	10050000	0.0431120614025441	20
EU	RU	1	10050001	10100000	0.022444453278601	8
EU	RU	1	10100001	10150000	0.0029964731113811	11
EU	RU	1	10150001	10200000	0.0248957671551905	12
EU	RU	1	10200001	10250000	0.0091110552562984	13
EU	RU	1	10250001	10300000	0.0069611728730521	22
EU	RU	1	10300001	10350000	0.0180816850056572	20
EU	RU	1	10350001	10400000	-0.0022364441608979	31
EU	RU	1	10400001	10450000	-0.013218384190572	21
EU	RU	1	10450001	10500000	-0.0213280952662239	20
EU	RU	1	10500001	10550000	0.0082883337384726	23
EU	RU	1	10550001	10600000	0.0144042678539793	26
EU	RU	1	10600001	10650000	-0.0073540070847723	18
EU	RU	1	10650001	10700000	0.0041339554894818	30
EU	RU	1	10700001	10750000	0.0128746417060885	21
EU	RU	1	10750001	10800000	0.0150407854275497	14
EU	RU	1	10800001	10850000	-0.0178315621678923	17
EU	RU	1	10850001	10900000	0.0077606964964096	19
EU	RU	1	10900001	10950000	0.0169912482705679	25
EU	RU	1	10950001	11000000	0.0156032991578927	26
EU	RU	1	11000001	11050000	0.012758275487667	22
EU	RU	1	11050001	11100000	0.0042519772565725	36
EU	RU	1	11100001	11150000	0.0204004526646651	15
EU	RU	1	11150001	11200000	-0.0104632873935671	28
EU	RU	1	11200001	11250000	-0.0100490037143618	41
EU	RU	1	11250001	11300000	-0.0120545976281918	33
EU	RU	1	11300001	11350000	0.0006723471639662	49
EU	RU	1	11350001	11400000	0.0001337012469093	29
EU	RU	1	11400001	11450000	-0.0107660222161917	35
EU	RU	1	11450001	11500000	-0.0018924790552944	49
EU	RU	1	11500001	11550000	-0.0112449512771879	63
EU	RU	1	11550001	11600000	0.0027858417041165	63
EU	RU	1	11600001	11650000	-0.0142970674641262	73
EU	RU	1	11650001	11700000	0.0004317385465383	50
EU	RU	1	11700001	11750000	-0.0087424753432848	48
EU	RU	1	11750001	11800000	0.0171878116314208	45
EU	RU	1	11800001	11850000	0.0041917083440875	30
EU	RU	1	11850001	11900000	0.0041138146308183	24
EU	RU	1	11900001	11950000	0.0080482324963735	48
EU	RU	1	11950001	12000000	-0.0027634815637258	29
EU	RU	1	12000001	12050000	0.0046728678515167	45
EU	RU	1	12050001	12100000	0.0243576685910428	25
EU	RU	1	12100001	12150000	-0.0020037100876201	36
EU	RU	1	12150001	12200000	-0.0127426569866117	33
EU	RU	1	12200001	12250000	0.0163148045168808	51
EU	RU	1	12250001	12300000	-0.0093617385254024	40
EU	RU	1	12300001	12350000	0.0031325936349335	49
EU	RU	1	12350001	12400000	0.0078589536519469	43
EU	RU	1	12400001	12450000	0.0026509891680772	59
EU	RU	1	12450001	12500000	0.0034759731743876	46
EU	RU	1	12500001	12550000	0.0070263289227624	48
EU	RU	1	12550001	12600000	0.0105533825667974	59
EU	RU	1	12600001	12650000	-0.0042745272905082	45
EU	RU	1	12650001	12700000	-0.0008147530889747	54
EU	RU	1	12700001	12750000	0.0039921926008065	51
EU	RU	1	12750001	12800000	0.0067909806715089	41
EU	RU	1	12800001	12850000	0.0077037193674059	49
EU	RU	1	12850001	12900000	-0.0015853560764068	69
EU	RU	1	12900001	12950000	-0.0034896967126314	67
EU	RU	1	12950001	13000000	0.0003555362143031	45
EU	RU	1	13000001	13050000	0.0022266256869287	67
EU	RU	1	13050001	13100000	-0.0013040416583566	67
EU	RU	1	13100001	13150000	0.0085697923139628	47
EU	RU	1	13150001	13200000	0.0345885102508706	46
EU	RU	1	13200001	13250000	0.037065098605764	62
EU	RU	1	13250001	13300000	-0.001792113451461	48
EU	RU	1	13300001	13350000	0.015128768477572	69
EU	RU	1	13350001	13400000	0.0090466028140057	51
EU	RU	1	13400001	13450000	-0.0054688499019157	43
EU	RU	1	13450001	13500000	-0.0122484585811903	27
EU	RU	1	13500001	13550000	0.0022738143836676	24
EU	RU	1	13550001	13600000	0.0078148163352156	43
EU	RU	1	13600001	13650000	0.0007285024107165	29
EU	RU	1	13650001	13700000	-0.0070195305434453	35
EU	RU	1	13700001	13750000	-0.0097455088111556	49
EU	RU	1	13750001	13800000	0.0090348337976098	42
EU	RU	1	13800001	13850000	0.006165475747978	61
EU	RU	1	13850001	13900000	-0.0004731374751813	55
EU	RU	1	13900001	13950000	-0.0052041001592973	55
EU	RU	1	13950001	14000000	-0.004432548998959	48
EU	RU	1	14000001	14050000	-0.0155919672273726	47
EU	RU	1	14050001	14100000	-0.0019198009691107	65
EU	RU	1	14100001	14150000	-0.0018367927379195	57
EU	RU	1	14150001	14200000	-0.0050421253065202	54
EU	RU	1	14200001	14250000	0.0190700455906165	53
EU	RU	1	14250001	14300000	-0.0086086521566542	46
EU	RU	1	14300001	14350000	-9.929641218969898e-05	58
EU	RU	1	14350001	14400000	0.0099689952539435	63
EU	RU	1	14400001	14450000	-0.015039421667372	54
EU	RU	1	14450001	14500000	0.0011496692494918	50
EU	RU	1	14500001	14550000	-0.0122778258759974	42
EU	RU	1	14550001	14600000	0.0125643329844201	51
EU	RU	1	14600001	14650000	-0.0034978829940221	63
EU	RU	1	14650001	14700000	-0.0127364692180407	54
EU	RU	1	14700001	14750000	0.0170926943094404	56
EU	RU	1	14750001	14800000	0.0061788537851082	61
EU	RU	1	14800001	14850000	-0.0106498337390553	66
EU	RU	1	14850001	14900000	-0.002348742751612	75
EU	RU	1	14900001	14950000	0.0083272082738657	52
EU	RU	1	14950001	15000000	0.0062013125036986	79
EU	RU	1	15000001	15050000	-0.0021800417449579	61
EU	RU	1	15050001	15100000	-0.0023279067381235	53
EU	RU	1	15100001	15150000	-0.0047254790859336	49
EU	RU	1	15150001	15200000	-0.0038118671769027	57
EU	RU	1	15200001	15250000	0.024161542287282	56
EU	RU	1	15250001	15300000	0.012386579530352	48
EU	RU	1	15300001	15350000	0.0023319651825413	59
EU	RU	1	15350001	15400000	0.0017331473699215	76
EU	RU	1	15400001	15450000	-0.0067084482842458	58
EU	RU	1	15450001	15500000	-0.0011199570835606	50
EU	RU	1	15500001	15550000	-0.0061014487965345	56
EU	RU	1	15550001	15600000	0.0169397342696028	39
EU	RU	1	15600001	15650000	0.0236690056159404	54
EU	RU	1	15650001	15700000	-0.0011891666220734	72
EU	RU	1	15700001	15750000	0.0016559063791201	89
EU	RU	1	15750001	15800000	0.0037671561797582	66
EU	RU	1	15800001	15850000	-0.005091131986531	89
EU	RU	1	15850001	15900000	-0.001098580063752	68
EU	RU	1	15900001	15950000	0.0184478090731299	47
EU	RU	1	15950001	16000000	-0.0139574567752309	20
EU	RU	1	16000001	16050000	-0.0013074092348742	99
EU	RU	1	16050001	16100000	-0.0009468685299218	70
EU	RU	1	16100001	16150000	0.0071254798668064	131
EU	RU	1	16150001	16200000	-0.0006695433542478	103
EU	RU	1	16200001	16250000	0.0083705707026685	64
EU	RU	1	16250001	16300000	0.0095467647684742	92
EU	RU	1	16300001	16350000	0.0087344302531065	72
EU	RU	1	16350001	16400000	0.0187489317962443	60
EU	RU	1	16400001	16450000	0.0094692347071291	50
EU	RU	1	16450001	16500000	-0.0050401078254666	64
EU	RU	1	16500001	16550000	-0.006427242938215	90
EU	RU	1	16550001	16600000	-0.0015535529054348	114
EU	RU	1	16600001	16650000	0.0082208069032617	73
EU	RU	1	16650001	16700000	0.0066374742363788	104
EU	RU	1	16700001	16750000	0.0053356717334858	70
EU	RU	1	16750001	16800000	-0.0029624668999897	69
EU	RU	1	16800001	16850000	-0.0007565369670378	56
EU	RU	1	16850001	16900000	0.020350847151985	75
EU	RU	1	16900001	16950000	0.0031059497436558	60
EU	RU	1	16950001	17000000	0.0144785338172645	58
EU	RU	1	17000001	17050000	-0.0113444407546472	56
EU	RU	1	17050001	17100000	0.013569062891969	50
EU	RU	1	17100001	17150000	-0.0028615663644294	56
EU	RU	1	17150001	17200000	0.0096635391914631	66
EU	RU	1	17200001	17250000	-0.0037481318874559	127
EU	RU	1	17250001	17300000	0.0055752529711086	88
EU	RU	1	17300001	17350000	0.0143284965709673	68
EU	RU	1	17350001	17400000	-0.0022843853360974	101
EU	RU	1	17400001	17450000	-0.0127286600566027	99
EU	RU	1	17450001	17500000	0.0083162096201625	88
EU	RU	1	17500001	17550000	-0.0047077474959259	96
EU	RU	1	17550001	17600000	-0.0085024164924829	121
EU	RU	1	17600001	17650000	-0.0080732514608503	109
EU	RU	1	17650001	17700000	-0.0033281499382262	39
EU	RU	1	17700001	17750000	-0.0139008467930873	65
EU	RU	1	17750001	17800000	0.0091650313191184	80
EU	RU	1	17800001	17850000	0.0068935363309357	91
EU	RU	1	17850001	17900000	-0.0009305581050211	78
EU	RU	1	17900001	17950000	0.0065736505316381	87
EU	RU	1	17950001	18000000	0.0029653150932432	70
EU	RU	1	18000001	18050000	0.0088756471496214	19
EU	RU	1	18050001	18100000	0.0103628250056344	60
EU	RU	1	18100001	18150000	0.00652503731075	60
EU	RU	1	18150001	18200000	0.0200497777822524	46
EU	RU	1	18200001	18250000	-0.0047715301687828	77
EU	RU	1	18250001	18300000	0.0026583472611599	61
EU	RU	1	18300001	18350000	-0.0032389779750982	58
EU	RU	1	18350001	18400000	-0.0091120982760893	89
EU	RU	1	18400001	18450000	0.0077163171867051	70
EU	RU	1	18450001	18500000	-0.0041201460554993	89
EU	RU	1	18500001	18550000	-0.0002887362046342	75
EU	RU	1	18550001	18600000	0.0091236243743815	100
EU	RU	1	18600001	18650000	0.0127195983761088	72
EU	RU	1	18650001	18700000	-0.0020216397883307	87
EU	RU	1	18700001	18750000	0.0008153971290253	65
EU	RU	1	18750001	18800000	-0.0029793592632073	79
EU	RU	1	18800001	18850000	-0.0037862905703778	80
EU	RU	1	18850001	18900000	-0.0002262702287379	85
EU	RU	1	18900001	18950000	-0.0023040641662026	77
EU	RU	1	18950001	19000000	0.0236380888582143	71
EU	RU	1	19000001	19050000	0.0067175095929289	68
EU	RU	1	19050001	19100000	-0.0015815043620641	79
EU	RU	1	19100001	19150000	-0.0035177727755461	83
EU	RU	1	19150001	19200000	0.0055686706723458	57
EU	RU	1	19200001	19250000	0.0054755639930384	37
EU	RU	1	19250001	19300000	0.0037632451795319	78
EU	RU	1	19300001	19350000	-0.0008977826216601	84
EU	RU	1	19350001	19400000	-0.0095295391544052	71
EU	RU	1	19400001	19450000	-0.00796067749842	93
EU	RU	1	19450001	19500000	0.0065269265610896	65
EU	RU	1	19500001	19550000	0.0110431140252014	74
EU	RU	1	19550001	19600000	0.0103220796994167	67
EU	RU	1	19600001	19650000	-0.0044819126462979	55
EU	RU	1	19650001	19700000	0.0072548515359135	59
EU	RU	1	19700001	19750000	0.0039297039369636	66
EU	RU	1	19750001	19800000	-0.0018339363523062	59
EU	RU	1	19800001	19850000	-0.0054530259922085	65
EU	RU	1	19850001	19900000	0.00648711593013	67
EU	RU	1	19900001	19950000	0.0075358189781292	63
EU	RU	1	19950001	20000000	0.0144710358474169	64
EU	RU	1	20000001	20050000	-0.0084673297196514	68
EU	RU	1	20050001	20100000	0.0037082247427329	49
EU	RU	1	20100001	20150000	0.0010237186815624	42
EU	RU	1	20150001	20200000	0.0048968199715205	55
EU	RU	1	20200001	20250000	0.0075828108226589	71
EU	RU	1	20250001	20300000	0.0058075416670051	58
EU	RU	1	20300001	20350000	0.0110572036401709	58
EU	RU	1	20350001	20400000	0.0027759228909189	79
EU	RU	1	20400001	20450000	0.0165521372758027	107
EU	RU	1	20450001	20500000	0.0039878723682804	91
EU	RU	1	20500001	20550000	0.0040124113765511	76
EU	RU	1	20550001	20600000	-0.0168279858362311	77
EU	RU	1	20600001	20650000	0.0150179993604256	57
EU	RU	1	20650001	20700000	-0.0036925462399425	52
EU	RU	1	20700001	20750000	0.0044533245705531	84
EU	RU	1	20750001	20800000	-0.0035711935411281	72
EU	RU	1	20800001	20850000	-0.0048513602264287	76
EU	RU	1	20850001	20900000	0.0186874062901319	50
EU	RU	1	20900001	20950000	-0.0051871721058069	64
EU	RU	1	20950001	21000000	0.0007077146131823	65
EU	RU	1	21000001	21050000	0.0043450784479669	103
EU	RU	1	21050001	21100000	0.008677075703384	65
EU	RU	1	21100001	21150000	0.0069489655480468	54
EU	RU	1	21150001	21200000	0.0029107547040443	33
EU	RU	1	21200001	21250000	0.0062262956522002	59
EU	RU	1	21250001	21300000	0.0008284660810248	75
EU	RU	1	21300001	21350000	-0.0082354879655209	76
EU	RU	1	21350001	21400000	0.0030661867309949	86
EU	RU	1	21400001	21450000	0.0150181942743954	82
EU	RU	1	21450001	21500000	0.0072036726809641	67
EU	RU	1	21500001	21550000	0.0024709973431382	38
EU	RU	1	21550001	21600000	0.0098478733686392	29
EU	RU	1	21600001	21650000	-0.0033540068882999	34
EU	RU	1	21650001	21700000	-0.0073736422718157	42
EU	RU	1	21700001	21750000	-0.0077028136659872	76
EU	RU	1	21750001	21800000	-0.0077234875639991	59
EU	RU	1	21800001	21850000	0.0045811502979945	77
EU	RU	1	21850001	21900000	0.0003249741725558	135
EU	RU	1	21900001	21950000	-0.0028562769997068	126
EU	RU	1	21950001	22000000	0.0017232256103002	81
EU	RU	1	22000001	22050000	-0.0036562881928502	57
EU	RU	1	22050001	22100000	0.0023990640324138	72
EU	RU	1	22100001	22150000	-0.0090521247672139	63
EU	RU	1	22150001	22200000	0.013888083667801	55
EU	RU	1	22200001	22250000	0.0011485162122214	51
EU	RU	1	22250001	22300000	0.0143027827643258	55
EU	RU	1	22300001	22350000	-0.0129983233112874	1
EU	RU	1	22400001	22450000	0.0370375616063473	1
EU	RU	1	22700001	22750000	-0.0171051618047205	16
EU	RU	1	22750001	22800000	0.0154778383123842	28
EU	RU	1	22800001	22850000	-0.0157837745866621	14
EU	RU	1	22850001	22900000	-0.0088450699573099	25
EU	RU	1	22900001	22950000	-0.0100755067324853	38
EU	RU	1	22950001	23000000	0.0095411484270138	71
EU	RU	1	23000001	23050000	-0.0026325729142481	68
EU	RU	1	23050001	23100000	-0.0096555245528709	51
EU	RU	1	23100001	23150000	0.0199156983207689	30
EU	RU	1	23150001	23200000	-0.0019659446968754	67
EU	RU	1	23200001	23250000	0.0037728843866213	82
EU	RU	1	23250001	23300000	-0.0073891712418293	51
EU	RU	1	23300001	23350000	0.0022860972490431	73
EU	RU	1	23350001	23400000	0.0012657888372064	63
EU	RU	1	23400001	23450000	0.0098517894243062	33
EU	RU	1	23450001	23500000	-0.003112697369572	34
EU	RU	1	23500001	23550000	-0.0015121703681792	63
EU	RU	1	23550001	23600000	0.0007075318527303	37
EU	RU	1	23600001	23650000	-0.0069259384238858	41
EU	RU	1	23650001	23700000	0.0009478267140482	52
EU	RU	1	23700001	23750000	-0.0028527179197159	47
EU	RU	1	23750001	23800000	0.0225269928670928	57
EU	RU	1	23800001	23850000	0.0007796072552674	52
EU	RU	1	23850001	23900000	0.0050076020185108	43
EU	RU	1	23900001	23950000	0.0007498753483926	62
EU	RU	1	23950001	24000000	0.0172206731181858	45
EU	RU	1	24000001	24050000	-0.0145184794044468	49
EU	RU	1	24050001	24100000	-0.0017312391044454	60
EU	RU	1	24100001	24150000	0.0018326737409216	62
EU	RU	1	24150001	24200000	-0.0111733122709304	70
EU	RU	1	24200001	24250000	0.0086103150380702	57
EU	RU	1	24250001	24300000	-0.0047261905285074	66
EU	RU	1	24300001	24350000	0.0102480815619593	54
EU	RU	1	24350001	24400000	0.009865978198312	68
EU	RU	1	24400001	24450000	0.008450988806404	81
EU	RU	1	24450001	24500000	0.0170597146242651	72
EU	RU	1	24500001	24550000	0.0092060229748108	73
EU	RU	1	24550001	24600000	-0.0058598890593687	67
EU	RU	1	24600001	24650000	-0.0012407276148207	85
EU	RU	1	24650001	24700000	0.0103743210456251	86
EU	RU	1	24700001	24750000	0.0046876773382372	64
EU	RU	1	24750001	24800000	-0.0105931654760284	85
EU	RU	1	24800001	24850000	-0.012539440441223	76
EU	RU	1	24850001	24900000	0.0066836772703927	55
EU	RU	1	24900001	24950000	0.0085713721025097	51
EU	RU	1	24950001	25000000	-0.0107305762211598	56
EU	RU	1	25000001	25050000	0.0066956703241699	43
EU	RU	1	25050001	25100000	-0.0055087940279688	71
EU	RU	1	25100001	25150000	0.0096474417810536	71
EU	RU	1	25150001	25200000	0.0053654359402407	83
EU	RU	1	25200001	25250000	-0.006763698773481	65
EU	RU	1	25250001	25300000	-0.0110605120118325	88
EU	RU	1	25300001	25350000	-0.0029590785077069	73
EU	RU	1	25350001	25400000	0.0006450498106914	108
EU	RU	1	25400001	25450000	-0.0155462441444139	65
EU	RU	1	25450001	25500000	-0.0144361608506869	76
EU	RU	1	25500001	25550000	-0.0040597425706315	48
EU	RU	1	25550001	25600000	-0.0087319601990728	79
EU	RU	1	25600001	25650000	0.0186424709695148	55
EU	RU	1	25650001	25700000	0.0007315241366961	61
EU	RU	1	25700001	25750000	-0.0053836914753572	51
EU	RU	1	25750001	25800000	0.0186623770677596	85
EU	RU	1	25800001	25850000	-0.0028137226102686	62
EU	RU	1	25850001	25900000	0.0011801158122693	80
EU	RU	1	25900001	25950000	0.0117406466314723	106
EU	RU	1	25950001	26000000	-0.0009408996769577	35
