pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
EU	1	800001	850000	0.4237284095784405	90	53333	125866	2924
RU	1	800001	850000	0.4035618279569892	90	3603	8928	4842
RU	1	850001	900000	0.3969405099150142	82	3503	8825	3721
EU	1	850001	900000	0.4085669204438658	82	47386	115981	1361
RU	1	900001	950000	0.4020982882385422	87	3641	9055	4256
EU	1	900001	950000	0.3956010822087489	87	48545	122712	1785
RU	1	950001	1000000	0.4027612473220662	75	3384	8402	3073
EU	1	950001	1000000	0.3983815572806398	75	42338	106275	1050
EU	1	1000001	1050000	0.4294310238032032	40	24265	56505	735
RU	1	1000001	1050000	0.4105461393596987	40	1526	3717	2403
EU	1	1050001	1100000	0.4084119951197585	55	31801	77865	840
RU	1	1050001	1100000	0.4056266746055373	55	2725	6718	1697
RU	1	1100001	1150000	0.435176044751563	52	2645	6078	1878
EU	1	1100001	1150000	0.4127390453244993	52	30151	73051	1361
EU	1	1150001	1200000	0.4028196155991683	70	39716	98595	1575
RU	1	1150001	1200000	0.4015623231065323	70	3547	8833	1877
EU	1	1200001	1250000	0.4126478415138971	96	55823	135280	2096
RU	1	1200001	1250000	0.4040523350899509	96	4447	11006	3682
RU	1	1250001	1300000	0.3655216284987277	70	2873	7860	2850
EU	1	1250001	1300000	0.3753789618741387	70	36774	97965	2205
RU	1	1300001	1350000	0.3918990939776159	56	2206	5629	2939
EU	1	1300001	1350000	0.4111454793090719	56	32300	78561	1575
RU	1	1350001	1400000	0.4610507246376811	27	1527	3312	819
EU	1	1350001	1400000	0.4403662483226774	27	16737	38007	630
RU	1	1400001	1450000	0.3870967741935484	78	3672	9486	2448
EU	1	1400001	1450000	0.3999710585341147	78	44224	110568	1050
RU	1	1450001	1500000	0.4350632244467861	78	3303	7592	4342
EU	1	1450001	1500000	0.4270165634872806	78	46766	109518	2100
EU	1	1500001	1550000	0.3964260319891234	92	50735	127981	3671
RU	1	1500001	1550000	0.3873006319590731	92	3861	9969	4107
EU	1	1550001	1600000	0.396290430331099	95	52795	133223	2722
RU	1	1550001	1600000	0.3994305470815538	95	3928	9834	4701
EU	1	1600001	1650000	0.4301217247782133	53	31272	72705	3138
RU	1	1600001	1650000	0.4240726429675425	53	2195	5176	2933
EU	1	1650001	1700000	0.3962401514293572	88	48984	123622	2306
RU	1	1650001	1700000	0.3789250092353158	88	4103	10828	2636
RU	1	1700001	1750000	0.4107190236136906	99	4644	11307	3840
EU	1	1700001	1750000	0.4120901083527245	99	57733	140098	1571
RU	1	1750001	1800000	0.4142322636350554	115	5757	13898	3697
EU	1	1750001	1800000	0.4193865927044897	115	67741	161524	3041
EU	1	1800001	1850000	0.4242219477906968	91	54619	128751	1470
RU	1	1800001	1850000	0.4292431503752599	91	4747	11059	2864
EU	1	1850001	1900000	0.4122662667710642	107	62131	150706	2411
RU	1	1850001	1900000	0.4162365086813702	107	5322	12786	3585
EU	1	1900001	1950000	0.41929093770249	115	67944	162045	2520
RU	1	1900001	1950000	0.4054591329612356	115	5303	13079	4516
RU	1	1950001	2000000	0.4200256945559659	112	5231	12454	4682
EU	1	1950001	2000000	0.4152810617039127	112	65337	157332	2940
RU	1	2000001	2050000	0.4070351758793969	30	1377	3383	1207
EU	1	2000001	2050000	0.3966125617501764	30	16860	42510	420
EU	1	2050001	2100000	NA	0	NA	NA	NA
RU	1	2050001	2100000	NA	0	NA	NA	NA
EU	1	2100001	2150000	0.3948527854268163	100	55923	141630	1470
RU	1	2100001	2150000	0.3806046329014527	100	4847	12735	2565
RU	1	2150001	2200000	0.4081838154522153	84	4459	10924	1928
EU	1	2150001	2200000	0.4117001889848812	84	48798	118528	1676
EU	1	2200001	2250000	0.3828418328290744	78	42010	109732	1886
RU	1	2200001	2250000	0.3716216216216216	78	3410	9176	2758
EU	1	2250001	2300000	0.4119057678911969	62	36071	87571	1151
RU	1	2250001	2300000	0.4006849315068493	62	3042	7592	1894
RU	1	2300001	2350000	0.3931262392597488	67	2974	7565	2686
EU	1	2300001	2350000	0.3790312341289995	67	35823	94512	1365
EU	1	2350001	2400000	0.4151202172026758	76	44493	107181	1575
RU	1	2350001	2400000	0.3976409209481683	76	3506	8817	2811
RU	1	2400001	2450000	0.4149738086112176	63	3248	7827	1812
EU	1	2400001	2450000	0.4082788377266905	63	36336	88998	1155
EU	1	2450001	2500000	0.4175210176847412	54	32132	76959	315
RU	1	2450001	2500000	0.4156510583707505	54	2592	6236	2026
RU	1	2500001	2550000	0.4269153756981768	89	4051	9489	4128
EU	1	2500001	2550000	0.4137853758483801	89	51700	124944	2415
RU	1	2550001	2600000	0.4106152294503278	71	3257	7932	2931
EU	1	2550001	2600000	0.4248132252424098	71	42760	100656	945
EU	1	2600001	2650000	0.4280381644183097	49	29699	69384	735
RU	1	2600001	2650000	0.4347826086956521	49	2480	5704	1793
EU	1	2650001	2700000	0.4204418802858454	43	25652	61012	521
RU	1	2650001	2700000	0.4371224601867106	43	2388	5463	1116
EU	1	2700001	2750000	0.4084156490627673	55	31506	77142	1563
RU	1	2700001	2750000	0.4074965612104539	55	2370	5816	2599
RU	1	2750001	2800000	0.3810342709740818	75	3102	8141	3334
EU	1	2750001	2800000	0.3904964137410343	75	41377	105960	1365
EU	1	2800001	2850000	0.4079070932198084	68	39093	95838	1470
RU	1	2800001	2850000	0.4009183180280328	68	3318	8276	2128
EU	1	2850001	2900000	0.4106842147779455	114	66091	160929	2205
RU	1	2850001	2900000	0.386950453593859	114	5545	14330	3112
RU	1	2900001	2950000	0.4017357542537398	72	3518	8757	2259
EU	1	2900001	2950000	0.4003851747042408	72	40748	101772	1260
EU	1	2950001	3000000	0.407432764553051	81	46418	113928	1983
RU	1	2950001	3000000	0.4199564811936587	81	4053	9651	2742
RU	1	3000001	3050000	0.3789676796912687	89	3928	10365	3252
EU	1	3000001	3050000	0.4088209872591075	89	51083	124952	2407
RU	1	3050001	3100000	0.4202294056308654	61	2418	5754	3579
EU	1	3050001	3100000	0.4215953262109256	61	36226	85926	1365
RU	1	3100001	3150000	0.3827260240769168	106	4737	12377	3841
EU	1	3100001	3150000	0.3890202646122927	106	58071	149275	2411
RU	1	3150001	3200000	0.4110576923076923	77	3591	8736	3045
EU	1	3150001	3200000	0.4218612939862051	77	45688	108301	1886
RU	1	3200001	3250000	0.4048259432874817	105	5268	13013	3052
EU	1	3200001	3250000	0.4028193713746121	105	59722	148260	1995
RU	1	3250001	3300000	0.3659379671150972	94	3917	10704	3678
EU	1	3250001	3300000	0.3938896815889269	94	51622	131057	3457
EU	1	3300001	3350000	0.3916455608966075	82	45463	116082	1260
RU	1	3300001	3350000	0.3874773139745917	82	3843	9918	2628
EU	1	3350001	3400000	0.3858049615608243	88	47775	123832	2096
RU	1	3350001	3400000	0.3894154077132401	88	4150	10657	2807
EU	1	3400001	3450000	0.3859794081670676	87	47648	123447	1050
RU	1	3400001	3450000	0.3677097505668934	87	4054	11025	2286
RU	1	3450001	3500000	0.3957370852582948	81	3769	9524	2869
EU	1	3450001	3500000	0.3968565472608176	81	45500	114651	1260
EU	1	3500001	3550000	0.427008080695939	89	53847	126103	1256
RU	1	3500001	3550000	0.4033047735618115	89	4613	11438	2179
RU	1	3550001	3600000	0.4135576162748903	111	5753	13911	3072
EU	1	3550001	3600000	0.4162388006058583	111	64855	155812	3029
RU	1	3600001	3650000	0.411917482932621	109	5551	13476	3201
EU	1	3600001	3650000	0.4209970727663653	109	65007	154412	1567
RU	1	3650001	3700000	0.4184045637332834	91	4474	10693	3230
EU	1	3650001	3700000	0.4174530141152616	91	53530	128230	1991
RU	1	3700001	3750000	0.4180893846270582	106	5510	13179	3039
EU	1	3700001	3750000	0.4296971683535243	106	64235	149489	2197
EU	1	3750001	3800000	0.4075896955137595	72	41738	102402	630
RU	1	3750001	3800000	0.4104504078496276	72	3472	8459	2557
RU	1	3800001	3850000	0.3789454140363906	48	2041	5386	1958
EU	1	3800001	3850000	0.3909908318985181	48	26569	67953	735
RU	1	3850001	3900000	0.3848200312989045	57	2459	6390	2331
EU	1	3850001	3900000	0.3778781372621603	57	30624	81042	525
RU	1	3900001	3950000	0.4053976867056975	63	2839	7003	2636
EU	1	3900001	3950000	0.4194471566613919	63	37374	89103	1050
EU	1	3950001	4000000	0.4038423080512485	53	30291	75007	836
RU	1	3950001	4000000	0.4284114541673332	53	2678	6251	1858
RU	1	4000001	4050000	0.4393991123250256	55	2574	5858	2557
EU	1	4000001	4050000	0.423597103697957	55	32761	77340	1365
RU	1	4050001	4100000	0.3935306262904335	68	2859	7265	3139
EU	1	4050001	4100000	0.4084662474492982	68	39234	96052	1256
EU	1	4100001	4150000	0.4218283193941664	85	50689	120165	1470
RU	1	4100001	4150000	0.4083504048385523	85	4186	10251	2754
RU	1	4150001	4200000	0.4137888043884802	62	3319	8021	1465
EU	1	4150001	4200000	0.4162332329592116	62	36492	87672	1050
EU	1	4200001	4250000	0.4489992414074809	49	30778	68548	1571
RU	1	4200001	4250000	0.4357714701601164	49	2395	5496	2001
EU	1	4250001	4300000	0.4243182442515721	95	57151	134689	1256
RU	1	4250001	4300000	0.4137442102278098	95	4377	10579	3956
EU	1	4300001	4350000	0.4140624187526649	68	39815	96157	1151
RU	1	4300001	4350000	0.4182569587942141	68	3441	8227	2177
EU	1	4350001	4400000	0.4225236333744349	53	31868	75423	420
RU	1	4350001	4400000	0.3979575028825564	53	2416	6071	2038
RU	1	4400001	4450000	0.3994358597007603	68	3257	8154	2250
EU	1	4400001	4450000	0.4242707263161172	68	40884	96363	945
RU	1	4450001	4500000	0.3921748233446742	74	2997	7642	3680
EU	1	4450001	4500000	0.4098454216564453	74	42369	103378	2516
RU	1	4500001	4550000	0.3928611898016997	79	3467	8825	3262
EU	1	4500001	4550000	0.3985077173102996	79	44383	111373	1676
RU	1	4550001	4600000	0.3509615384615384	56	2263	6448	2120
EU	1	4550001	4600000	0.3798032370675976	56	29919	78775	1361
EU	1	4600001	4650000	0.385722459398794	48	26292	68163	525
RU	1	4600001	4650000	0.3873045078196872	48	2105	5435	1909
EU	1	4650001	4700000	0.3934743017614102	51	28303	71931	1050
RU	1	4650001	4700000	0.4138321995464852	51	2555	6174	1629
EU	1	4700001	4750000	0.4172486133862114	49	29038	69594	525
RU	1	4700001	4750000	0.3934397163120567	49	2219	5640	1857
EU	1	4750001	4800000	0.4077969041161602	77	44206	108402	1785
RU	1	4750001	4800000	0.4043895387041661	77	3077	7609	4172
EU	1	4800001	4850000	0.4058540602249546	114	65058	160299	2835
RU	1	4800001	4850000	0.4104192104192104	114	5042	12285	5157
RU	1	4850001	4900000	0.4121259842519685	74	2617	6350	4972
EU	1	4850001	4900000	0.4029930156519047	74	41659	103374	2520
EU	1	4900001	4950000	0.4115837038293335	59	33975	82547	1882
RU	1	4900001	4950000	0.4002060641742714	59	2719	6794	2233
EU	1	4950001	5000000	0.4049755222250395	74	41527	102542	3352
RU	1	4950001	5000000	0.4038746132113547	74	3002	7433	3889
RU	1	5000001	5050000	0.4212201591511936	87	3176	7540	5771
EU	1	5000001	5050000	0.4439607999204059	87	53547	120612	3885
RU	1	5050001	5100000	0.410207336523126	71	2572	6270	4593
EU	1	5050001	5100000	0.3980560944067248	71	39398	98976	2625
EU	1	5100001	5150000	0.388352623633286	47	25467	65577	1680
RU	1	5100001	5150000	0.3751974723538704	47	1425	3798	3393
EU	1	5150001	5200000	0.432613616576702	74	44721	103374	2520
RU	1	5150001	5200000	0.4144927536231884	74	2431	5865	5457
RU	1	5200001	5250000	0.4344549125168236	69	3228	7430	3127
EU	1	5200001	5250000	0.4503005228273846	69	43753	97164	1575
EU	1	5250001	5300000	0.447713594465439	71	44783	100026	1575
RU	1	5250001	5300000	0.4198995255372593	71	3009	7166	3697
RU	1	5300001	5350000	0.4216901408450704	39	1497	3550	2417
EU	1	5300001	5350000	0.4092112712065596	39	22408	54759	1050
RU	1	5350001	5400000	0.4000840512712755	47	1904	4759	2432
EU	1	5350001	5400000	0.4031950621766361	47	26652	66102	1155
RU	1	5400001	5450000	0.4161520190023753	70	2628	6315	4395
EU	1	5400001	5450000	0.4354969055291289	70	42572	97755	2415
RU	1	5450001	5500000	0.397358134519477	66	2948	7419	2679
EU	1	5450001	5500000	0.3922759004668294	66	36637	93396	1050
RU	1	5500001	5550000	0.3700831024930748	64	2672	7220	2572
EU	1	5500001	5550000	0.3930010627933752	64	35499	90328	1256
RU	1	5550001	5600000	0.4282246496745007	72	3881	9063	1953
EU	1	5550001	5600000	0.4447970848394016	72	45408	102087	945
RU	1	5600001	5650000	0.3925274725274725	74	3572	9100	2222
EU	1	5600001	5650000	0.4045088782277948	74	42327	104638	1256
RU	1	5650001	5700000	0.4270585692673438	75	3952	9254	2221
EU	1	5650001	5700000	0.4178168249019885	75	44228	105855	1470
EU	1	5700001	5750000	0.4087135634479745	57	32740	80105	1462
RU	1	5700001	5750000	0.4093735780373123	57	2699	6593	2128
EU	1	5750001	5800000	0.4387819007358697	54	33630	76644	630
RU	1	5750001	5800000	0.4077613669273096	54	2816	6906	1356
RU	1	5800001	5850000	0.3972578347578347	53	2231	5616	2493
EU	1	5800001	5850000	0.415324752261956	53	30847	74272	1571
EU	1	5850001	5900000	0.4022790878628531	57	32054	79681	1886
RU	1	5850001	5900000	0.3881330929355843	57	2368	6101	2620
EU	1	5900001	5950000	0.3972072026546734	42	23581	59367	735
RU	1	5900001	5950000	0.4077519379844961	42	2104	5160	1266
RU	1	5950001	6000000	0.4329450915141431	74	3903	9015	2307
EU	1	5950001	6000000	0.4246898713611254	74	44437	104634	1260
RU	1	6000001	6050000	0.4207507820646506	49	2421	5754	1743
EU	1	6000001	6050000	0.4290175423448316	49	29812	69489	630
RU	1	6050001	6100000	0.3926488778936208	50	2222	5659	1991
EU	1	6050001	6100000	0.4131274675690919	50	29299	70920	630
EU	1	6100001	6150000	0.4437508669718407	46	28791	64881	945
RU	1	6100001	6150000	0.4490799781380943	46	2465	5489	1549
EU	1	6150001	6200000	0.4206682109392934	34	20158	47919	735
RU	1	6150001	6200000	0.4084367245657568	34	1646	4030	1172
EU	1	6200001	6250000	0.4389628732849072	21	13053	29736	315
RU	1	6200001	6250000	0.4582167133146741	21	1146	2501	712
EU	1	6250001	6300000	0.4867462339636136	16	10889	22371	525
RU	1	6250001	6300000	0.447751741608613	16	707	1579	869
RU	1	6300001	6350000	0.4355203619909502	11	385	884	799
EU	1	6300001	6350000	0.4163468917881811	11	6510	15636	105
EU	1	6350001	6400000	0.4558212290502793	16	10199	22375	521
RU	1	6350001	6400000	0.446831955922865	16	811	1815	633
EU	1	6400001	6450000	0.4485581509863663	23	14575	32493	420
RU	1	6400001	6450000	0.466183574879227	23	965	2070	1449
RU	1	6450001	6500000	0.4286096256684492	34	1603	3740	1462
EU	1	6450001	6500000	0.4537804650003116	34	21840	48129	525
EU	1	6500001	6550000	0.3925250238586679	32	17686	45057	735
RU	1	6500001	6550000	0.4054285714285714	32	1419	3500	1396
RU	1	6550001	6600000	0.4498820754716981	16	763	1696	752
EU	1	6550001	6600000	0.4073878162743542	16	9242	22686	210
RU	1	6600001	6650000	0.4265704584040747	23	1005	2356	1163
EU	1	6600001	6650000	0.3979692005644518	23	12973	32598	315
RU	1	6650001	6700000	0.4591788579518641	19	973	2119	788
EU	1	6650001	6700000	0.4441602728047741	19	11983	26979	210
RU	1	6700001	6750000	0.3845261121856866	26	994	2585	1393
EU	1	6700001	6750000	0.4253608923884514	26	15558	36576	630
RU	1	6750001	6800000	0.4618528610354223	17	1017	2202	399
EU	1	6750001	6800000	0.4912476261250103	17	11899	24222	105
RU	1	6800001	6850000	0.3910296904611497	13	619	1583	406
EU	1	6800001	6850000	0.4246945615742242	13	7856	18498	105
EU	1	6850001	6900000	0.4496304118268215	10	6387	14205	105
RU	1	6850001	6900000	0.4536178107606679	10	489	1078	452
RU	1	6900001	6950000	0.4149128081779916	13	690	1663	326
EU	1	6900001	6950000	0.4540782855893286	13	8306	18292	311
RU	1	6950001	7000000	0.4626955475330926	19	769	1662	1245
EU	1	6950001	7000000	0.4501574773270595	19	11863	26353	836
EU	1	7000001	7050000	0.4018001021892072	18	10223	25443	315
RU	1	7000001	7050000	0.3947849954254346	18	863	2186	568
EU	1	7050001	7100000	0.4520758339332853	15	9419	20835	630
RU	1	7050001	7100000	0.4455296769346356	15	593	1331	964
RU	1	7100001	7150000	0.5033726812816189	11	597	1186	497
EU	1	7100001	7150000	0.4780117184984869	11	7424	15531	210
RU	1	7150001	7200000	0.4911297852474323	8	526	1071	153
EU	1	7150001	7200000	0.5042757647888566	8	5720	11343	105
RU	1	7200001	7250000	0.464840858623242	12	628	1351	485
EU	1	7200001	7250000	0.4735553963705826	12	7933	16752	420
EU	1	7250001	7300000	0.447435505251351	7	4388	9807	210
RU	1	7250001	7300000	0.4930362116991643	7	354	718	353
RU	1	7300001	7350000	0.4939550949913644	4	286	579	33
EU	1	7300001	7350000	0.506114605171209	4	2897	5724	0
EU	1	7350001	7400000	0.5049615653389238	5	3613	7155	0
RU	1	7350001	7400000	0.5121602288984263	5	358	699	66
EU	1	7400001	7450000	0.4581315577078289	7	4541	9912	105
RU	1	7400001	7450000	0.4440619621342513	7	258	581	490
RU	1	7450001	7500000	0.396798652064027	9	471	1187	190
EU	1	7450001	7500000	0.4502113668388915	9	5751	12774	105
RU	1	7500001	7550000	0.4449013157894737	9	541	1216	161
EU	1	7500001	7550000	0.451589994476446	9	5723	12673	206
RU	1	7550001	7600000	0.4891304347826087	6	270	552	366
EU	1	7550001	7600000	0.5018731117824773	6	4153	8275	311
EU	1	7600001	7650000	0.4860275910859568	6	4122	8481	105
RU	1	7600001	7650000	0.5177809388335705	6	364	703	215
EU	1	7650001	7700000	0.4450489662676822	2	1227	2757	105
RU	1	7650001	7700000	0.3809523809523809	2	104	273	33
RU	1	7700001	7750000	0.4973118279569892	3	185	372	87
EU	1	7700001	7750000	0.4976732794513838	3	2032	4083	210
EU	1	7750001	7800000	0.5092559839641552	6	4319	8481	105
RU	1	7750001	7800000	0.4951048951048951	6	354	715	203
RU	1	7800001	7850000	0.445692883895131	4	119	267	345
EU	1	7800001	7850000	0.4640679844818031	4	2512	5413	311
EU	1	7850001	7900000	0.3399720475192173	2	973	2862	0
RU	1	7850001	7900000	0.4395604395604395	2	120	273	33
RU	1	7900001	7950000	0.525	1	63	120	33
EU	1	7900001	7950000	0.5087351502445842	1	728	1431	0
EU	1	7950001	8000000	NA	0	NA	NA	NA
RU	1	7950001	8000000	NA	0	NA	NA	NA
EU	1	8000001	8050000	0.142183532825535	2	392	2757	105
RU	1	8000001	8050000	0.2843601895734597	2	60	211	95
RU	1	8050001	8100000	0.5294117647058824	1	81	153	0
EU	1	8050001	8100000	0.5090497737556561	1	675	1326	105
EU	1	8100001	8150000	NA	0	NA	NA	NA
RU	1	8100001	8150000	NA	0	NA	NA	NA
RU	1	8150001	8200000	0.5681818181818182	3	50	88	371
EU	1	8150001	8200000	0.4768385864374403	3	1997	4188	105
EU	1	8200001	8250000	NA	0	NA	NA	NA
RU	1	8200001	8250000	NA	0	NA	NA	NA
EU	1	8250001	8300000	0.3851480420248329	3	1613	4188	105
RU	1	8250001	8300000	0.4584382871536523	3	182	397	62
RU	1	8300001	8350000	0.4401544401544401	3	114	259	200
EU	1	8300001	8350000	0.4579751671442216	3	1918	4188	105
RU	1	8350001	8400000	0.4594594594594595	2	51	111	195
EU	1	8350001	8400000	0.3420060331825038	2	907	2652	210
EU	1	8400001	8450000	0.3525506638714186	2	1009	2862	0
RU	1	8400001	8450000	0.4054054054054054	2	60	148	158
RU	1	8450001	8500000	0.2374429223744292	2	52	219	87
EU	1	8450001	8500000	0.363075807036634	2	1001	2757	105
RU	1	8500001	8550000	0.3214285714285714	5	198	616	149
EU	1	8500001	8550000	0.3447938504542278	5	2467	7155	0
EU	1	8550001	8600000	0.2294432797577451	3	985	4293	0
RU	1	8550001	8600000	0.2580645161290322	3	80	310	149
EU	1	8600001	8650000	0.3732955065434245	8	4079	10927	521
RU	1	8600001	8650000	0.3040201005025125	8	242	796	428
EU	1	8650001	8700000	0.2721390275466814	4	1472	5409	315
RU	1	8650001	8700000	0.3447204968944099	4	111	322	290
EU	1	8700001	8750000	0.3389238294898672	2	970	2862	0
RU	1	8700001	8750000	0.1919191919191919	2	38	198	108
RU	1	8750001	8800000	0.3281853281853282	6	255	777	141
EU	1	8750001	8800000	0.2645914396887159	6	2244	8481	105
EU	1	8800001	8850000	0.3206976330307884	4	1802	5619	105
RU	1	8800001	8850000	0.2827004219409282	4	134	474	138
EU	1	8850001	8900000	0.3226781857451404	5	2241	6945	210
RU	1	8850001	8900000	0.4334862385321101	5	189	436	329
RU	1	8900001	8950000	0.2325581395348837	4	100	430	182
EU	1	8900001	8950000	0.323721436343852	4	1785	5514	210
RU	1	8950001	9000000	0.3309859154929577	3	141	426	33
EU	1	8950001	9000000	0.3540647565804798	3	1520	4293	0
EU	1	9000001	9050000	0.4624388539482879	4	2647	5724	0
RU	1	9000001	9050000	0.4300518134715025	4	249	579	33
EU	1	9050001	9100000	0.3841929321872015	3	1609	4188	105
RU	1	9050001	9100000	0.3681917211328976	3	169	459	0
RU	1	9100001	9150000	0.4983888292158969	9	464	931	446
EU	1	9100001	9150000	0.4531861593862533	9	5789	12774	105
RU	1	9150001	9200000	0.3634881825590872	11	446	1227	456
EU	1	9150001	9200000	0.3658648790746582	11	5567	15216	525
RU	1	9200001	9250000	0.4945382323733863	10	498	1007	523
EU	1	9200001	9250000	0.4382978723404255	10	6180	14100	210
EU	1	9250001	9300000	0.3840905238175962	17	9063	23596	731
RU	1	9250001	9300000	0.4391304347826087	17	808	1840	761
EU	1	9300001	9350000	0.4126644233710614	14	8094	19614	420
RU	1	9300001	9350000	0.3994708994708995	14	604	1512	630
EU	1	9350001	9400000	0.3629263702658198	15	7714	21255	210
RU	1	9350001	9400000	0.3697527314548591	15	643	1739	556
RU	1	9400001	9450000	0.4155124653739612	14	600	1444	698
EU	1	9400001	9450000	0.415002017756255	14	8227	19824	210
EU	1	9450001	9500000	0.4691096848219728	20	13083	27889	731
RU	1	9450001	9500000	0.4149430139299282	20	983	2369	691
EU	1	9500001	9550000	0.4219402928886044	19	11208	26563	626
RU	1	9500001	9550000	0.4029227557411273	19	772	1916	991
RU	1	9550001	9600000	0.4544906570223025	16	754	1659	789
EU	1	9550001	9600000	0.4353274050121261	16	9693	22266	630
RU	1	9600001	9650000	0.4305891848264729	22	1067	2478	888
EU	1	9600001	9650000	0.4028263969920913	22	12428	30852	630
RU	1	9650001	9700000	0.4124585329893107	21	1119	2713	500
EU	1	9650001	9700000	0.392539905162626	21	11755	29946	105
RU	1	9700001	9750000	0.4041614123581337	12	641	1586	250
EU	1	9700001	9750000	0.3938214833156467	12	6680	16962	210
RU	1	9750001	9800000	0.4184525971667272	27	1152	2753	1378
EU	1	9750001	9800000	0.4078940425307372	27	15460	37902	735
RU	1	9800001	9850000	0.4290630975143403	23	1122	2615	904
EU	1	9800001	9850000	0.4013832283561813	23	13000	32388	525
RU	1	9850001	9900000	0.4456751054852321	20	845	1896	1164
EU	1	9850001	9900000	0.4295035460992907	20	12112	28200	420
EU	1	9900001	9950000	0.4470694681813612	21	13341	29841	210
RU	1	9900001	9950000	0.4603263927968486	21	818	1777	1436
RU	1	9950001	10000000	0.3877700476016111	23	1059	2731	788
EU	1	9950001	10000000	0.4165899748450825	23	13580	32598	315
EU	1	10000001	10050000	0.4296634993212831	20	12028	27994	626
RU	1	10000001	10050000	0.4299450549450549	20	939	2184	876
EU	1	10050001	10100000	0.495906744972415	8	5573	11238	210
RU	1	10050001	10100000	0.4741474147414741	8	431	909	315
EU	1	10100001	10150000	0.4483196747347691	11	7057	15741	0
RU	1	10100001	10150000	0.4532243415077202	11	499	1101	582
EU	1	10150001	10200000	0.3976094216909826	12	6786	17067	105
RU	1	10150001	10200000	0.4106280193236715	12	425	1035	801
RU	1	10200001	10250000	0.4394463667820069	13	381	867	1122
EU	1	10200001	10250000	0.4320467964137328	13	7903	18292	311
RU	1	10250001	10300000	0.3812086092715231	22	921	2416	950
EU	1	10250001	10300000	0.4075246361678522	22	12489	30646	836
EU	1	10300001	10350000	0.4305036483360028	20	12095	28095	525
RU	1	10300001	10350000	0.4169665809768637	20	811	1945	1115
EU	1	10350001	10400000	0.4145907473309608	31	18174	43836	525
RU	1	10350001	10400000	0.3981350664029386	31	1409	3539	1204
EU	1	10400001	10450000	0.4079059175418918	21	12001	29421	630
RU	1	10400001	10450000	0.4259407526020816	21	1064	2498	715
EU	1	10450001	10500000	0.482072839026458	20	13647	28309	311
RU	1	10450001	10500000	0.4524925436727737	20	1062	2347	713
EU	1	10500001	10550000	0.4152708755138352	23	13537	32598	315
RU	1	10500001	10550000	0.4635652531906134	23	1126	2429	1090
RU	1	10550001	10600000	0.4027027027027027	26	1192	2960	1018
EU	1	10550001	10600000	0.4213764874901737	26	15545	36891	315
EU	1	10600001	10650000	0.4467287506905532	18	11321	25342	416
RU	1	10600001	10650000	0.4588893671975893	18	1066	2323	431
EU	1	10650001	10700000	0.4227475888026347	30	17971	42510	420
RU	1	10650001	10700000	0.4052432090966519	30	1283	3166	1424
RU	1	10700001	10750000	0.4521841794569067	21	1149	2541	672
EU	1	10700001	10750000	0.467486283275757	21	13803	29526	525
RU	1	10750001	10800000	0.3903448275862069	14	566	1450	692
EU	1	10750001	10800000	0.4440836940836941	14	8617	19404	630
EU	1	10800001	10850000	0.4129089676216307	17	9743	23596	731
RU	1	10800001	10850000	0.423936170212766	17	797	1880	721
EU	1	10850001	10900000	0.4784098181681286	19	12708	26563	626
